enter_threshold_v,exit_threshold_v,snapshot_window_s,min_duration_s,voltage,std_dev,rmse,num_snapshots
0.7,0.5,1.0,0.2,0.78136043,0.3108766722244107,0.0,2
0.7,0.6,1.0,0.2,0.78136043,0.3108766722244107,0.0,2
0.8,0.5,0.5,1.0,0.9190722067999999,0.09982040812867822,0.0,2
0.8,0.6,0.5,1.0,0.9190722067999999,0.09982040812867822,0.0,2
0.8,0.7,0.5,1.0,0.9190722067999999,0.09982040812867822,0.0,2
0.5,0.3,1.0,0.2,0.9151149076000001,0.21793288773860003,1.1102230246251565e-16,1
0.5,0.3,2.0,0.2,0.9285014848999998,0.15694542016033938,1.1102230246251565e-16,1
0.5,0.3,2.0,1.0,0.8939023955,0.16398872184968644,1.1102230246251565e-16,1
0.7,0.3,1.0,0.2,0.9151149076000001,0.21793288773860003,1.1102230246251565e-16,1
0.7,0.3,2.0,0.2,0.9285014848999998,0.15694542016033938,1.1102230246251565e-16,1
0.7,0.3,2.0,1.0,0.8939023955,0.16398872184968644,1.1102230246251565e-16,1
0.7,0.5,2.0,0.2,0.9285014848999998,0.15694542016033938,1.1102230246251565e-16,1
0.7,0.5,2.0,1.0,0.8939023955,0.16398872184968644,1.1102230246251565e-16,1
0.8,0.3,1.0,0.2,0.9151149076000001,0.21793288773860003,1.1102230246251565e-16,1
0.8,0.3,2.0,0.2,0.9285014848999998,0.15694542016033938,1.1102230246251565e-16,1
0.8,0.3,2.0,1.0,0.8939023955,0.16398872184968644,1.1102230246251565e-16,1
0.8,0.5,0.5,0.5,0.9543893303999998,0.00041338354983229457,1.1102230246251565e-16,2
0.8,0.5,1.0,0.5,0.9374791650000002,0.07246176058393118,1.1102230246251565e-16,2
0.8,0.5,2.0,0.2,0.9285014848999998,0.15694542016033938,1.1102230246251565e-16,1
0.8,0.5,2.0,1.0,0.8939023955,0.16398872184968644,1.1102230246251565e-16,1
0.8,0.6,0.5,0.5,0.9543893303999998,0.00041338354983229457,1.1102230246251565e-16,2
0.8,0.6,1.0,0.5,0.9374791650000002,0.07246176058393118,1.1102230246251565e-16,2
0.8,0.6,2.0,1.0,0.8939023955,0.16398872184968644,1.1102230246251565e-16,1
0.8,0.7,0.5,0.5,0.9543893303999998,0.00041338354983229457,1.1102230246251565e-16,2
0.8,0.7,1.0,0.5,0.9374791650000002,0.07246176058393118,1.1102230246251565e-16,2
0.8,0.7,2.0,1.0,0.8939023955,0.16398872184968644,1.1102230246251565e-16,1
0.9,0.3,0.2,0.5,0.9544820059999998,0.0002651639471021074,1.1102230246251565e-16,2
0.9,0.5,0.2,0.5,0.9544820059999998,0.0002651639471021074,1.1102230246251565e-16,2
0.9,0.5,0.5,0.2,0.9539349047999999,0.0005668366023204418,1.1102230246251565e-16,2
0.9,0.5,1.0,0.5,0.9194146847999999,0.13362777059832215,1.1102230246251565e-16,2
0.9,0.6,0.2,0.5,0.9544820059999998,0.0002651639471021074,1.1102230246251565e-16,2
0.9,0.6,0.5,0.2,0.9539349047999999,0.0005668366023204418,1.1102230246251565e-16,2
0.9,0.6,1.0,0.5,0.9194146847999999,0.13362777059832215,1.1102230246251565e-16,2
0.9,0.7,0.2,0.5,0.9544820059999998,0.0002651639471021074,1.1102230246251565e-16,2
0.9,0.7,0.5,0.2,0.9539349047999999,0.0005668366023204418,1.1102230246251565e-16,2
0.9,0.7,1.0,0.5,0.9194146847999999,0.13362777059832215,1.1102230246251565e-16,2
0.9,0.8,0.2,0.5,0.9544820059999998,0.0002651639471021074,1.1102230246251565e-16,2
0.9,0.8,0.5,0.2,0.9539349047999999,0.0005668366023204418,1.1102230246251565e-16,2
0.9,0.8,1.0,0.5,0.9194146847999999,0.13362777059832215,1.1102230246251565e-16,2
0.5,0.3,2.0,0.5,0.9102561879999999,0.1367677606355806,2.220446049250313e-16,1
0.7,0.3,0.2,0.5,0.9542573779999998,0.0003578263246847453,2.220446049250313e-16,3
0.7,0.3,2.0,0.5,0.9102561879999999,0.1367677606355806,2.220446049250313e-16,1
0.7,0.5,0.2,0.5,0.9542573779999998,0.0003578263246847453,2.220446049250313e-16,3
0.7,0.5,0.5,0.5,0.9541578967999998,0.000528627381738941,2.220446049250313e-16,3
0.7,0.5,0.5,1.0,0.9194279239999998,0.09994394775422388,2.220446049250313e-16,2
0.7,0.5,1.0,0.5,0.9324862542000002,0.11830193475296152,2.220446049250313e-16,2
0.7,0.5,2.0,0.5,0.9102561879999999,0.1367677606355806,2.220446049250313e-16,1
0.7,0.6,0.2,0.5,0.9542573779999998,0.0003578263246847453,2.220446049250313e-16,3
0.7,0.6,0.5,0.5,0.9541578967999998,0.000528627381738941,2.220446049250313e-16,3
0.7,0.6,0.5,1.0,0.9194279239999998,0.09994394775422388,2.220446049250313e-16,2
0.7,0.6,1.0,0.5,0.9324862542000002,0.11830193475296152,2.220446049250313e-16,2
0.8,0.3,0.2,0.5,0.9544186529999997,0.0002691583512072441,2.220446049250313e-16,2
0.8,0.3,2.0,0.5,0.9102561879999999,0.1367677606355806,2.220446049250313e-16,1
0.8,0.5,0.2,0.5,0.9544186529999997,0.0002691583512072441,2.220446049250313e-16,2
0.8,0.5,0.5,0.2,0.9536273715999998,0.0006518145370901899,2.220446049250313e-16,3
0.8,0.5,1.0,0.2,0.8730716544000002,0.2080651992584103,2.220446049250313e-16,2
0.8,0.5,2.0,0.5,0.9102561879999999,0.1367677606355806,2.220446049250313e-16,1
0.8,0.6,0.2,0.5,0.9544186529999997,0.0002691583512072441,2.220446049250313e-16,2
0.8,0.6,0.5,0.2,0.9536273715999998,0.0006518145370901899,2.220446049250313e-16,3
0.8,0.6,1.0,0.2,0.8730716544000002,0.2080651992584103,2.220446049250313e-16,2
0.8,0.6,2.0,0.5,0.9102561879999999,0.1367677606355806,2.220446049250313e-16,1
0.8,0.7,0.2,0.5,0.9544186529999997,0.0002691583512072441,2.220446049250313e-16,2
0.8,0.7,0.5,0.2,0.9536273715999998,0.0006518145370901899,2.220446049250313e-16,3
0.8,0.7,1.0,0.2,0.8730716544000002,0.2080651992584103,2.220446049250313e-16,2
0.8,0.7,2.0,0.5,0.9102561879999999,0.1367677606355806,2.220446049250313e-16,1
0.9,0.3,2.0,0.2,0.9154462981999998,0.13798066534358416,2.220446049250313e-16,1
0.9,0.5,1.0,0.2,0.9442638914000002,0.04304430741048487,2.220446049250313e-16,2
0.9,0.5,2.0,0.2,0.9154462981999998,0.13798066534358416,2.220446049250313e-16,1
0.9,0.6,1.0,0.2,0.9442638914000002,0.04304430741048487,2.220446049250313e-16,2
0.9,0.6,2.0,0.2,0.9154462981999998,0.13798066534358416,2.220446049250313e-16,1
0.9,0.7,1.0,0.2,0.9442638914000002,0.04304430741048487,2.220446049250313e-16,2
0.9,0.7,2.0,0.2,0.9154462981999998,0.13798066534358416,2.220446049250313e-16,1
0.9,0.8,1.0,0.2,0.9442638914000002,0.04304430741048487,2.220446049250313e-16,2
0.9,0.8,2.0,0.2,0.9154462981999998,0.13798066534358416,2.220446049250313e-16,1
0.5,0.3,0.5,0.2,0.9452734631999996,0.02173573192158756,3.3306690738754696e-16,1
0.5,0.3,0.5,0.5,0.9452734631999996,0.02173573192158756,3.3306690738754696e-16,1
0.7,0.3,0.5,0.2,0.9452734631999996,0.02173573192158756,3.3306690738754696e-16,1
0.7,0.3,0.5,0.5,0.9452734631999996,0.02173573192158756,3.3306690738754696e-16,1
0.7,0.5,0.5,0.2,0.7476403511999997,0.19674181806057958,3.3306690738754696e-16,4
0.7,0.5,1.0,1.0,0.8765540027999996,0.2090951846536903,3.3306690738754696e-16,2
0.7,0.6,0.5,0.2,0.7476403511999997,0.19674181806057958,3.3306690738754696e-16,4
0.7,0.6,1.0,1.0,0.8765540027999996,0.2090951846536903,3.3306690738754696e-16,2
0.8,0.3,0.5,0.2,0.9452734631999996,0.02173573192158756,3.3306690738754696e-16,1
0.8,0.3,0.5,1.0,0.9510099203999997,0.0013056708303489008,3.3306690738754696e-16,1
0.8,0.5,1.0,1.0,0.8231093007999998,0.2632015678933563,3.3306690738754696e-16,2
0.8,0.6,1.0,1.0,0.8231093007999998,0.2632015678933563,3.3306690738754696e-16,2
0.8,0.7,1.0,1.0,0.8231093007999998,0.2632015678933563,3.3306690738754696e-16,2
0.5,0.3,0.5,1.0,0.9504334699999996,0.0013037210581343607,4.440892098500626e-16,1
0.7,0.3,0.5,1.0,0.9504334699999996,0.0013037210581343607,4.440892098500626e-16,1
0.8,0.3,0.5,0.5,0.9489993467999995,0.0006144583117093273,4.440892098500626e-16,1
0.9,0.3,0.5,0.2,0.9489993467999995,0.0006144583117093273,4.440892098500626e-16,1
0.9,0.3,0.5,1.0,0.9453264799999995,0.026522127055672008,4.440892098500626e-16,1
0.9,0.3,1.0,0.2,0.9498964640000004,0.0014588631332993825,4.440892098500626e-16,1
0.9,0.5,0.5,0.5,0.9544678399999996,0.0003231161885099673,4.440892098500626e-16,2
0.9,0.5,0.5,1.0,0.9453264799999995,0.026522127055672008,4.440892098500626e-16,1
0.9,0.6,0.5,0.5,0.9544678399999996,0.0003231161885099673,4.440892098500626e-16,2
0.9,0.6,0.5,1.0,0.9453264799999995,0.026522127055672008,4.440892098500626e-16,1
0.9,0.7,0.5,0.5,0.9544678399999996,0.0003231161885099673,4.440892098500626e-16,2
0.9,0.7,0.5,1.0,0.9453264799999995,0.026522127055672008,4.440892098500626e-16,1
0.9,0.8,0.5,0.5,0.9544678399999996,0.0003231161885099673,4.440892098500626e-16,2
0.9,0.8,0.5,1.0,0.9453264799999995,0.026522127055672008,4.440892098500626e-16,1
0.5,0.3,1.0,0.5,0.9405785272000006,0.05312692474376041,5.551115123125783e-16,1
0.7,0.3,1.0,0.5,0.9405785272000006,0.05312692474376041,5.551115123125783e-16,1
0.7,0.6,2.0,1.0,0.8247160653999994,0.26452250606257066,5.551115123125783e-16,2
0.8,0.3,1.0,0.5,0.9405785272000006,0.05312692474376041,5.551115123125783e-16,1
0.8,0.6,2.0,0.2,0.8295826536999995,0.2531878030356486,5.551115123125783e-16,2
0.8,0.7,2.0,0.2,0.8295826536999995,0.2531878030356486,5.551115123125783e-16,2
0.9,0.3,0.5,0.5,0.9499262567999994,0.0013357301188667164,5.551115123125783e-16,1
0.8,0.3,0.2,1.0,0.8678548019999992,0.14182273076999696,6.661338147750939e-16,2
0.8,0.5,0.2,1.0,0.8678548019999992,0.14182273076999696,6.661338147750939e-16,2
0.8,0.6,0.2,1.0,0.8678548019999992,0.14182273076999696,6.661338147750939e-16,2
0.8,0.7,0.2,1.0,0.8678548019999992,0.14182273076999696,6.661338147750939e-16,2
0.9,0.3,0.2,0.2,0.9535926489999993,0.0005456865799914456,6.661338147750939e-16,2
0.9,0.3,0.2,1.0,0.9521021129999993,0.00033568580783823533,6.661338147750939e-16,1
0.9,0.3,1.0,0.5,0.9496314592000007,0.012455554390756319,6.661338147750939e-16,1
0.9,0.5,0.2,0.2,0.9535926489999993,0.0005456865799914456,6.661338147750939e-16,2
0.9,0.5,0.2,1.0,0.9521021129999993,0.00033568580783823533,6.661338147750939e-16,1
0.9,0.6,0.2,0.2,0.9535926489999993,0.0005456865799914456,6.661338147750939e-16,2
0.9,0.6,0.2,1.0,0.9521021129999993,0.00033568580783823533,6.661338147750939e-16,1
0.9,0.7,0.2,0.2,0.9535926489999993,0.0005456865799914456,6.661338147750939e-16,3
0.9,0.7,0.2,1.0,0.9521021129999993,0.00033568580783823533,6.661338147750939e-16,1
0.9,0.8,0.2,0.2,0.9535926489999993,0.0005456865799914456,6.661338147750939e-16,3
0.9,0.8,0.2,1.0,0.9521021129999993,0.00033568580783823533,6.661338147750939e-16,1
0.5,0.3,0.2,1.0,0.9426336119999993,0.035418686855424195,7.771561172376096e-16,3
0.7,0.3,0.2,0.2,0.8145666399999992,0.18453209853308594,7.771561172376096e-16,5
0.7,0.3,0.2,1.0,0.9050110939999992,0.08565334095246525,7.771561172376096e-16,2
0.7,0.5,0.2,0.2,0.8145666399999992,0.18453209853308594,7.771561172376096e-16,6
0.7,0.5,0.2,1.0,0.9050110939999992,0.08565334095246525,7.771561172376096e-16,2
0.7,0.6,0.2,0.2,0.8145666399999992,0.18453209853308594,7.771561172376096e-16,6
0.7,0.6,0.2,1.0,0.9050110939999992,0.08565334095246525,7.771561172376096e-16,2
0.5,0.3,0.2,0.5,0.6142900619999991,0.1337496072942554,8.881784197001252e-16,4
0.5,0.3,0.2,0.2,0.527346840999999,0.3964821274863209,9.992007221626409e-16,6
0.5,0.3,1.0,1.0,0.941362442600001,0.037426361568292134,9.992007221626409e-16,1
0.7,0.3,1.0,1.0,0.941362442600001,0.037426361568292134,9.992007221626409e-16,1
0.7,0.6,2.0,0.2,0.7474718286999991,0.3064239771735451,9.992007221626409e-16,2
0.7,0.6,2.0,0.5,0.783848499899999,0.2944159149880734,9.992007221626409e-16,2
0.8,0.3,1.0,1.0,0.941362442600001,0.037426361568292134,9.992007221626409e-16,1
0.8,0.3,0.2,0.2,0.8953347149999988,0.11771971646819634,1.2212453270876722e-15,4
0.8,0.5,0.2,0.2,0.8953347149999988,0.11771971646819634,1.2212453270876722e-15,4
0.8,0.6,0.2,0.2,0.8953347149999988,0.11771971646819634,1.2212453270876722e-15,4
0.8,0.7,0.2,0.2,0.8953347149999988,0.11771971646819634,1.2212453270876722e-15,5
1.0,0.3,0.2,0.2,-0.0184834,nan,0.19704277800000003,0
1.0,0.3,0.2,0.5,-0.0184834,nan,0.19704277800000003,0
1.0,0.3,0.2,1.0,-0.0184834,nan,0.19704277800000003,0
1.0,0.5,0.2,0.2,-0.0184834,nan,0.19704277800000003,0
1.0,0.5,0.2,0.5,-0.0184834,nan,0.19704277800000003,0
1.0,0.5,0.2,1.0,-0.0184834,nan,0.19704277800000003,0
1.0,0.6,0.2,0.2,-0.0184834,nan,0.19704277800000003,0
1.0,0.6,0.2,0.5,-0.0184834,nan,0.19704277800000003,0
1.0,0.6,0.2,1.0,-0.0184834,nan,0.19704277800000003,0
1.0,0.7,0.2,0.2,-0.0184834,nan,0.19704277800000003,0
1.0,0.7,0.2,0.5,-0.0184834,nan,0.19704277800000003,0
1.0,0.7,0.2,1.0,-0.0184834,nan,0.19704277800000003,0
1.0,0.8,0.2,0.2,-0.0184834,nan,0.19704277800000003,0
1.0,0.8,0.2,0.5,-0.0184834,nan,0.19704277800000003,0
1.0,0.8,0.2,1.0,-0.0184834,nan,0.19704277800000003,0
1.0,0.3,0.5,0.2,-0.0184834,nan,0.4686490752,0
1.0,0.3,0.5,0.5,-0.0184834,nan,0.4686490752,0
1.0,0.3,0.5,1.0,-0.0184834,nan,0.4686490752,0
1.0,0.5,0.5,0.2,-0.0184834,nan,0.4686490752,0
1.0,0.5,0.5,0.5,-0.0184834,nan,0.4686490752,0
1.0,0.5,0.5,1.0,-0.0184834,nan,0.4686490752,0
1.0,0.6,0.5,0.2,-0.0184834,nan,0.4686490752,0
1.0,0.6,0.5,0.5,-0.0184834,nan,0.4686490752,0
1.0,0.6,0.5,1.0,-0.0184834,nan,0.4686490752,0
1.0,0.7,0.5,0.2,-0.0184834,nan,0.4686490752,0
1.0,0.7,0.5,0.5,-0.0184834,nan,0.4686490752,0
1.0,0.7,0.5,1.0,-0.0184834,nan,0.4686490752,0
1.0,0.8,0.5,0.2,-0.0184834,nan,0.4686490752,0
1.0,0.8,0.5,0.5,-0.0184834,nan,0.4686490752,0
1.0,0.8,0.5,1.0,-0.0184834,nan,0.4686490752,0
0.9,0.3,1.0,1.0,-0.0184834,nan,0.5758633066000001,0
0.9,0.5,1.0,1.0,-0.0184834,nan,0.5758633066000001,0
0.9,0.6,1.0,1.0,-0.0184834,nan,0.5758633066000001,0
0.9,0.7,1.0,1.0,-0.0184834,nan,0.5758633066000001,0
0.9,0.8,1.0,1.0,-0.0184834,nan,0.5758633066000001,0
1.0,0.3,1.0,0.2,-0.0184834,nan,0.5758633066000001,0
1.0,0.3,1.0,0.5,-0.0184834,nan,0.5758633066000001,0
1.0,0.3,1.0,1.0,-0.0184834,nan,0.5758633066000001,0
1.0,0.5,1.0,0.2,-0.0184834,nan,0.5758633066000001,0
1.0,0.5,1.0,0.5,-0.0184834,nan,0.5758633066000001,0
1.0,0.5,1.0,1.0,-0.0184834,nan,0.5758633066000001,0
1.0,0.6,1.0,0.2,-0.0184834,nan,0.5758633066000001,0
1.0,0.6,1.0,0.5,-0.0184834,nan,0.5758633066000001,0
1.0,0.6,1.0,1.0,-0.0184834,nan,0.5758633066000001,0
1.0,0.7,1.0,0.2,-0.0184834,nan,0.5758633066000001,0
1.0,0.7,1.0,0.5,-0.0184834,nan,0.5758633066000001,0
1.0,0.7,1.0,1.0,-0.0184834,nan,0.5758633066000001,0
1.0,0.8,1.0,0.2,-0.0184834,nan,0.5758633066000001,0
1.0,0.8,1.0,0.5,-0.0184834,nan,0.5758633066000001,0
1.0,0.8,1.0,1.0,-0.0184834,nan,0.5758633066000001,0
0.9,0.3,2.0,0.5,-0.0184834,nan,0.5825874969,0
0.9,0.3,2.0,1.0,-0.0184834,nan,0.5825874969,0
0.9,0.5,2.0,0.5,-0.0184834,nan,0.5825874969,0
0.9,0.5,2.0,1.0,-0.0184834,nan,0.5825874969,0
0.9,0.6,2.0,0.5,-0.0184834,nan,0.5825874969,0
0.9,0.6,2.0,1.0,-0.0184834,nan,0.5825874969,0
0.9,0.7,2.0,0.5,-0.0184834,nan,0.5825874969,0
0.9,0.7,2.0,1.0,-0.0184834,nan,0.5825874969,0
0.9,0.8,2.0,0.5,-0.0184834,nan,0.5825874969,0
0.9,0.8,2.0,1.0,-0.0184834,nan,0.5825874969,0
1.0,0.3,2.0,0.2,-0.0184834,nan,0.5825874969,0
1.0,0.3,2.0,0.5,-0.0184834,nan,0.5825874969,0
1.0,0.3,2.0,1.0,-0.0184834,nan,0.5825874969,0
1.0,0.5,2.0,0.2,-0.0184834,nan,0.5825874969,0
1.0,0.5,2.0,0.5,-0.0184834,nan,0.5825874969,0
1.0,0.5,2.0,1.0,-0.0184834,nan,0.5825874969,0
1.0,0.6,2.0,0.2,-0.0184834,nan,0.5825874969,0
1.0,0.6,2.0,0.5,-0.0184834,nan,0.5825874969,0
1.0,0.6,2.0,1.0,-0.0184834,nan,0.5825874969,0
1.0,0.7,2.0,0.2,-0.0184834,nan,0.5825874969,0
1.0,0.7,2.0,0.5,-0.0184834,nan,0.5825874969,0
1.0,0.7,2.0,1.0,-0.0184834,nan,0.5825874969,0
1.0,0.8,2.0,0.2,-0.0184834,nan,0.5825874969,0
1.0,0.8,2.0,0.5,-0.0184834,nan,0.5825874969,0
1.0,0.8,2.0,1.0,-0.0184834,nan,0.5825874969,0
