backbone,snapshot_window_s,std_threshold_v,min_duration_s,voltage,std_dev,rmse,num_snapshots
stddev_window,0.5,0.002,0.2,0.9540535191999999,0.0005922916986266911,1.1102230246251565e-16,2
stddev_window,0.2,0.001,0.5,0.9546804939999998,0.00022356517301465808,2.220446049250313e-16,1
stddev_window,0.2,0.002,0.5,0.9545650999999997,0.0002832980271831818,2.220446049250313e-16,2
stddev_window,0.5,0.001,0.2,0.9541578967999998,0.000528627381738941,2.220446049250313e-16,1
stddev_window,0.2,0.0005,0.2,0.9541758389999997,0.00033358765493471507,3.3306690738754696e-16,1
stddev_window,0.5,0.0005,0.2,0.9544515095999997,0.00033766590152817905,3.3306690738754696e-16,1
stddev_window,0.5,0.002,0.5,0.9507349987999996,0.0012655982074886404,4.440892098500626e-16,1
stddev_window,0.2,0.0005,0.5,0.9545035309999994,0.00036178464849747325,5.551115123125783e-16,1
stddev_window,0.2,0.001,0.2,0.9537379699999992,0.0003979385751353245,8.881784197001252e-16,3
stddev_window,0.2,0.002,0.2,0.9535927159999991,0.0005456917498434385,8.881784197001252e-16,2
stddev_window,0.2,0.0001,0.2,-0.0184834,nan,0.19704277800000003,0
stddev_window,0.2,0.0001,0.5,-0.0184834,nan,0.19704277800000003,0
stddev_window,0.2,0.0001,1.0,-0.0184834,nan,0.19704277800000003,0
stddev_window,0.2,0.0001,2.0,-0.0184834,nan,0.19704277800000003,0
stddev_window,0.2,0.0002,0.2,-0.0184834,nan,0.19704277800000003,0
stddev_window,0.2,0.0002,0.5,-0.0184834,nan,0.19704277800000003,0
stddev_window,0.2,0.0002,1.0,-0.0184834,nan,0.19704277800000003,0
stddev_window,0.2,0.0002,2.0,-0.0184834,nan,0.19704277800000003,0
stddev_window,0.2,0.0005,1.0,-0.0184834,nan,0.19704277800000003,0
stddev_window,0.2,0.0005,2.0,-0.0184834,nan,0.19704277800000003,0
stddev_window,0.2,0.001,1.0,-0.0184834,nan,0.19704277800000003,0
stddev_window,0.2,0.001,2.0,-0.0184834,nan,0.19704277800000003,0
stddev_window,0.2,0.002,1.0,-0.0184834,nan,0.19704277800000003,0
stddev_window,0.2,0.002,2.0,-0.0184834,nan,0.19704277800000003,0
stddev_window,0.5,0.0001,0.2,-0.0184834,nan,0.4686490752,0
stddev_window,0.5,0.0001,0.5,-0.0184834,nan,0.4686490752,0
stddev_window,0.5,0.0001,1.0,-0.0184834,nan,0.4686490752,0
stddev_window,0.5,0.0001,2.0,-0.0184834,nan,0.4686490752,0
stddev_window,0.5,0.0002,0.2,-0.0184834,nan,0.4686490752,0
stddev_window,0.5,0.0002,0.5,-0.0184834,nan,0.4686490752,0
stddev_window,0.5,0.0002,1.0,-0.0184834,nan,0.4686490752,0
stddev_window,0.5,0.0002,2.0,-0.0184834,nan,0.4686490752,0
stddev_window,0.5,0.0005,0.5,-0.0184834,nan,0.4686490752,0
stddev_window,0.5,0.0005,1.0,-0.0184834,nan,0.4686490752,0
stddev_window,0.5,0.0005,2.0,-0.0184834,nan,0.4686490752,0
stddev_window,0.5,0.001,0.5,-0.0184834,nan,0.4686490752,0
stddev_window,0.5,0.001,1.0,-0.0184834,nan,0.4686490752,0
stddev_window,0.5,0.001,2.0,-0.0184834,nan,0.4686490752,0
stddev_window,0.5,0.002,1.0,-0.0184834,nan,0.4686490752,0
stddev_window,0.5,0.002,2.0,-0.0184834,nan,0.4686490752,0
stddev_window,1.0,0.0001,0.2,-0.0184834,nan,0.5758633066000001,0
stddev_window,1.0,0.0001,0.5,-0.0184834,nan,0.5758633066000001,0
stddev_window,1.0,0.0001,1.0,-0.0184834,nan,0.5758633066000001,0
stddev_window,1.0,0.0001,2.0,-0.0184834,nan,0.5758633066000001,0
stddev_window,1.0,0.0002,0.2,-0.0184834,nan,0.5758633066000001,0
stddev_window,1.0,0.0002,0.5,-0.0184834,nan,0.5758633066000001,0
stddev_window,1.0,0.0002,1.0,-0.0184834,nan,0.5758633066000001,0
stddev_window,1.0,0.0002,2.0,-0.0184834,nan,0.5758633066000001,0
stddev_window,1.0,0.0005,0.2,-0.0184834,nan,0.5758633066000001,0
stddev_window,1.0,0.0005,0.5,-0.0184834,nan,0.5758633066000001,0
stddev_window,1.0,0.0005,1.0,-0.0184834,nan,0.5758633066000001,0
stddev_window,1.0,0.0005,2.0,-0.0184834,nan,0.5758633066000001,0
stddev_window,1.0,0.001,0.2,-0.0184834,nan,0.5758633066000001,0
stddev_window,1.0,0.001,0.5,-0.0184834,nan,0.5758633066000001,0
stddev_window,1.0,0.001,1.0,-0.0184834,nan,0.5758633066000001,0
stddev_window,1.0,0.001,2.0,-0.0184834,nan,0.5758633066000001,0
stddev_window,1.0,0.002,0.2,-0.0184834,nan,0.5758633066000001,0
stddev_window,1.0,0.002,0.5,-0.0184834,nan,0.5758633066000001,0
stddev_window,1.0,0.002,1.0,-0.0184834,nan,0.5758633066000001,0
stddev_window,1.0,0.002,2.0,-0.0184834,nan,0.5758633066000001,0
stddev_window,2.0,0.0001,0.2,-0.0184834,nan,0.5825874969,0
stddev_window,2.0,0.0001,0.5,-0.0184834,nan,0.5825874969,0
stddev_window,2.0,0.0001,1.0,-0.0184834,nan,0.5825874969,0
stddev_window,2.0,0.0001,2.0,-0.0184834,nan,0.5825874969,0
stddev_window,2.0,0.0002,0.2,-0.0184834,nan,0.5825874969,0
stddev_window,2.0,0.0002,0.5,-0.0184834,nan,0.5825874969,0
stddev_window,2.0,0.0002,1.0,-0.0184834,nan,0.5825874969,0
stddev_window,2.0,0.0002,2.0,-0.0184834,nan,0.5825874969,0
stddev_window,2.0,0.0005,0.2,-0.0184834,nan,0.5825874969,0
stddev_window,2.0,0.0005,0.5,-0.0184834,nan,0.5825874969,0
stddev_window,2.0,0.0005,1.0,-0.0184834,nan,0.5825874969,0
stddev_window,2.0,0.0005,2.0,-0.0184834,nan,0.5825874969,0
stddev_window,2.0,0.001,0.2,-0.0184834,nan,0.5825874969,0
stddev_window,2.0,0.001,0.5,-0.0184834,nan,0.5825874969,0
stddev_window,2.0,0.001,1.0,-0.0184834,nan,0.5825874969,0
stddev_window,2.0,0.001,2.0,-0.0184834,nan,0.5825874969,0
stddev_window,2.0,0.002,0.2,-0.0184834,nan,0.5825874969,0
stddev_window,2.0,0.002,0.5,-0.0184834,nan,0.5825874969,0
stddev_window,2.0,0.002,1.0,-0.0184834,nan,0.5825874969,0
stddev_window,2.0,0.002,2.0,-0.0184834,nan,0.5825874969,0
